doy	hr	Tair	SWD	PAR	lai	Ea	Windsp m/s	precip	co2	Atm P	SoilT_2cm	SWC_2cm	flag	delta-13c	 delta-18o
7	5.5	-4.9	0	12	1	0.3242	1.05	0	387.43	791.2	-2.8	0.12	0	-8.2	41.39
7	6.5	-5.7	0	12	1	0.3237	1.6	0	386.99	791.45	-3.05	0.12	0	-8.19	41.45
7	7.5	-5.95	5.5	22	1	0.3013	2.1	0	386.265	791.5	-3.2	0.12	0	-8.14	41.53
7	8.5	-2.7	133.5	256	1	0.2827	1.2	0	388.635	791.1	-3.35	0.12	0	-8.07	41.56
7	9.5	2.2	322	601	1	0.2547	0.55	0	384.5	790.75	-2.35	0.12	0	-7.98	41.58
7	10.5	6.15	477	884.5	1	0.2594	2.2	0	384.35	790.35	0	0.12	0	-7.95	41.56
7	11.5	8.3	578	1069	1	0.2467	4.7	0	383.935	789.35	4.75	0.12	0	-7.91	41.54
7	12.5	10.1	622	1149	1	0.2371	7.2	0	384.3	787.55	6.45	0.12	0	-7.89	41.52
7	13.5	10.9	571	1056	1	0.2396	7.7	0	384.145	786.1	7.35	0.12	0	-7.88	41.52
7	14.5	11.45	416.5	773.5	1	0.2277	6.75	0	383.195	785.25	7.35	0.12	0	-7.87	41.51
7	15.5	10.5	252.5	474	1	0.2309	5.95	0	383.81	785.1	6.9	0.12	0	-7.88	41.5
7	16.5	9.4	100.5	196	1	0.2462	3.4	0	385.27	784.85	5.5	0.12	0	-7.89	41.52
7	17.5	5.85	6.5	24	1	0.28	2.8	0	385.98	784.7	3.25	0.12	0	-7.91	41.51
7	18.5	2.6	0	12	1	0.3095	2.45	0	386.42	784.7	1.8	0.12	0	-7.95	41.51
7	19.5	3.8	0	12	1	0.2994	3.25	0	385.76	784.8	1	0.12	0	-8.04	41.51
7	20.5	3.55	0	12	1	0.3055	3.35	0	384.735	784.6	0.8	0.12	0	-8.08	41.47
7	21.5	3.4	0	12	1	0.3025	3.65	0	386.735	784.55	0.55	0.12	0	-8.1	41.44
7	22.5	4.05	0	12	1	0.2802	3.8	0	386.725	784.3	0.15	0.12	0	-8.11	41.42
7	23.5	4.6	0	12	1	0.281	2.75	0	384.885	784.4	-0.3	0.12	0	-8.12	41.42
8	0.5	3.35	0	12	1	0.2895	2.95	0	383.385	784.35	-0.55	0.12	0	-8.14	41.41
8	1.5	3.1	0	12	1	0.2869	2.2	0	384.905	784.4	-0.75	0.12	0	-8.15	41.4
8	2.5	1.4	0	12	1	0.3143	1.85	0	384.535	784.7	-0.95	0.12	0	-8.16	41.4
8	3.5	2.1	0	12	1	0.2813	1.9	0	385.33	784.75	-1.15	0.12	0	-8.18	41.42
8	4.5	-0.65	0	12	1	0.3266	2	0	385.855	784.75	-1.6	0.12	0	-8.19	41.38
8	5.5	-1.35	0	12	1	0.3522	2.55	0	385.905	784.75	-2.1	0.12	0	-8.21	41.4
8	6.5	-2.6	0	12	1	0.3138	1.8	0	386.98	785.3	-2.5	0.12	0	-8.2	41.47
8	7.5	-3.3	4.5	20.5	1	0.3428	2.1	0	387.32	785.95	-2.85	0.12	0	-8.15	41.55
8	8.5	0.5	127	244.5	1	0.2604	1.25	0	385.81	786.5	-3	0.12	0	-8.07	41.57
8	9.5	4.2	312.5	583.5	1	0.2275	1.95	0	384.785	787.15	-1.8	0.12	0	-7.99	41.58
8	10.5	6.35	465.5	863.5	1	0.2203	2.4	0	384.605	787.65	0.7	0.12	0	-7.96	41.57
8	11.5	8.5	566	1047	1	0.2163	1.9	0	384.365	787.05	3.35	0.12	0	-7.92	41.56
8	12.5	9.8	607.5	1122.5	1	0.203	2.15	0	383.235	786.15	5.7	0.12	0	-7.9	41.53
8	13.5	11	580	1072.5	1	0.1931	2.15	0	382.5	785.25	7.6	0.12	0	-7.89	41.49
8	14.5	12.05	483	895	1	0.1672	4.25	0	382.885	785	7.9	0.12	0	-7.88	41.48
8	15.5	11.4	329	613.5	1	0.1583	6.3	0	382.575	785.1	7.1	0.12	0	-7.89	41.48
8	16.5	10.45	137.5	264	1	0.1763	3.8	0	382.595	785.3	5	0.12	0	-7.9	41.48
8	17.5	7.3	11	32.5	1	0.2084	1.2	0	382.8	785.6	3.8	0.12	0	-7.92	41.49
8	18.5	4.4	0	12	1	0.2353	2.25	0	383.38	785.6	2.1	0.12	0	-7.96	41.49
8	19.5	0.95	0	12	1	0.2595	1.55	0	383.705	785.95	1.2	0.12	0	-8.05	41.49
8	20.5	-1.05	0	12	1	0.2893	1.2	0	386.445	786.15	0.25	0.12	0	-8.09	41.46
8	21.5	-2.25	0	12	1	0.3016	1.2	0	384.71	786.4	-0.35	0.12	0	-8.11	41.43
8	22.5	0.9	0	12	1	0.3118	4.1	0	383.96	786.8	-0.8	0.12	0	-8.11	41.41
8	23.5	0.35	0	12	1	0.2775	2.1	0	384.785	787.15	-1.35	0.12	0	-8.13	41.39
9	0.5	-1.3	0	12	1	0.3053	1.5	0	386.61	787.2	-1.65	0.12	0	-8.15	41.39
9	1.5	-0.9	0	12	1	0.3006	2.2	0	385.63	787.55	-1.95	0.12	0	-8.16	41.39
9	2.5	-0.65	0	12	1	0.2916	2.55	0	385.565	788.35	-2	0.12	0	-8.17	41.4
9	3.5	-2.45	0	12	1	0.3143	2.05	0	384.65	788.85	-2.2	0.12	0	-8.19	41.39
9	4.5	-4.05	0	12	1	0.3218	1.2	0	385.905	789.15	-2.45	0.12	0	-8.2	41.35
9	5.5	-3.05	0	12	1	0.2618	2.35	0	386.285	789.15	-2.35	0.12	0	-8.22	41.38
9	6.5	-2.3	0	12	1	0.1653	3	0	386.865	789.75	-2.75	0.12	0	-8.21	41.45
9	7.5	-4.2	5.5	22	1	0.1723	3.2	0	385.885	791	-3.5	0.12	0	-8.16	41.5
9	8.5	-3.15	116.5	225	1	0.2532	4.8	0	386.57566	792.8	-3.6	0.12	0	-8.08	41.52
9	9.5	-1.25	323.5	603.5	1	0.2311	3.9	0	385.05824	793.95	-2.9	0.12	0	-8	41.52
9	10.5	0.65	477	926.5	1	0.2202	5.35	0.3	384.40443	794.7	-0.95	0.115	0	-7.97	41.51
9	11.5	1.85	573	1085	1	0.1862	5.25	0	383.74996	794.5	1.95	0.11	0	-7.93	41.5
